State,Art Form,Origin/History,Type,Associated Festival,UNESCO Heritage Status,Materials/Medium,Notable Practitioners,Key Locations
Assam,Metal Craft,Medieval,Textile,Christmas,Yes,Clay,Traditional Practitioners,Rural Areas
Assam,Classical Music,Medieval,Sculpture,Christmas,No,Ivory,Local Artisans,Coastal Areas
Bihar,Stone Carving,Post-Independence,Cuisine,Christmas,No,Stone,Young Artists,Coastal Areas
Assam,Wood Carving,Prehistoric,Sculpture,Diwali,Yes,Wood,Local Artisans,Rural Areas
Rajasthan,Terracotta Art,Medieval,Dance,Bihu,No,Paper,Traditional Practitioners,Major Cities
Punjab,Puppet Show,Modern,Music,Bihu,Yes,Paper,Young Artists,Hill Stations
Maharashtra,Handloom Weaving,Prehistoric,Literature,Lohri,Yes,Glass,Traditional Practitioners,Major Cities
Rajasthan,Terracotta Art,Medieval,Architecture,Eid,No,Ivory,Local Artisans,Coastal Areas
Punjab,Puppet Show,Post-Independence,Cuisine,Baisakhi,No,Stone,Renowned Artist,Major Cities
Assam,Classical Music,Colonial,Craft,Pongal,Yes,Fabric,Traditional Practitioners,Rural Areas
Madhya Pradesh,Embroidery,Modern,Architecture,Baisakhi,No,Clay,Master Craftsman,Tribal Regions
Punjab,Pottery,Post-Independence,Painting,Holi,No,Fabric,Traditional Practitioners,Tribal Regions
Bihar,Handloom Weaving,Modern,Sculpture,Durga Puja,Yes,Glass,Young Artists,Coastal Areas
Punjab,Puppet Show,Ancient,Architecture,Eid,No,Stone,Young Artists,Hill Stations
Maharashtra,Stone Carving,Prehistoric,Sculpture,Bihu,Yes,Ivory,Renowned Artist,Major Cities
Gujarat,Folk Dance,Prehistoric,Dance,Christmas,No,Fabric,Renowned Artist,Hill Stations
Uttar Pradesh,Classical Music,Ancient,Dance,Christmas,No,Stone,Master Craftsman,Rural Areas
Uttar Pradesh,Embroidery,Modern,Cuisine,Lohri,Yes,Stone,Young Artists,Major Cities
Tamil Nadu,Pottery,Colonial,Textile,Diwali,No,Clay,Renowned Artist,Major Cities
Bihar,Puppet Show,Prehistoric,Painting,Navratri,No,Ivory,Local Artisans,Major Cities
Tamil Nadu,Folk Dance,Ancient,Textile,Holi,Yes,Glass,Young Artists,Hill Stations
Rajasthan,Wood Carving,Post-Independence,Architecture,Lohri,No,Bamboo,Local Artisans,Hill Stations
Madhya Pradesh,Puppet Show,Post-Independence,Music,Lohri,Yes,Glass,Renowned Artist,Hill Stations
Karnataka,Wood Carving,Colonial,Theatre,Pongal,No,Glass,Master Craftsman,Tribal Regions
Uttar Pradesh,Handloom Weaving,Prehistoric,Dance,Baisakhi,No,Fabric,Young Artists,Tribal Regions
Rajasthan,Classical Music,Prehistoric,Architecture,Baisakhi,Yes,Leather,Young Artists,Major Cities
Madhya Pradesh,Metal Craft,Post-Independence,Dance,Holi,Yes,Fabric,Traditional Practitioners,Rural Areas
Punjab,Folk Dance,Colonial,Literature,Durga Puja,No,Ivory,Young Artists,Hill Stations
Gujarat,Pottery,Colonial,Music,Christmas,Yes,Clay,Local Artisans,Rural Areas
Punjab,Classical Music,Ancient,Music,Holi,Yes,Bamboo,Local Artisans,Major Cities
Gujarat,Classical Music,Medieval,Sculpture,Bihu,Yes,Clay,Traditional Practitioners,Coastal Areas
Tamil Nadu,Metal Craft,Post-Independence,Textile,Bihu,Yes,Ivory,Renowned Artist,Rural Areas
Punjab,Pottery,Ancient,Textile,Holi,No,Fabric,Local Artisans,Coastal Areas
Karnataka,Wood Carving,Colonial,Painting,Bihu,No,Clay,Traditional Practitioners,Tribal Regions
Punjab,Folk Dance,Post-Independence,Literature,Holi,Yes,Wood,Young Artists,Hill Stations
Punjab,Puppet Show,Ancient,Painting,Christmas,No,Fabric,Master Craftsman,Coastal Areas
Assam,Classical Music,Modern,Textile,Durga Puja,Yes,Ivory,Master Craftsman,Tribal Regions
Karnataka,Folk Dance,Prehistoric,Cuisine,Bihu,Yes,Leather,Traditional Practitioners,Hill Stations
Madhya Pradesh,Embroidery,Medieval,Cuisine,Eid,No,Fabric,Renowned Artist,Major Cities
Bihar,Wood Carving,Prehistoric,Literature,Pongal,Yes,Ivory,Local Artisans,Major Cities
Uttar Pradesh,Embroidery,Modern,Craft,Lohri,Yes,Leather,Local Artisans,Hill Stations
Madhya Pradesh,Wood Carving,Colonial,Cuisine,Lohri,No,Paper,Master Craftsman,Hill Stations
Gujarat,Classical Music,Prehistoric,Cuisine,Durga Puja,No,Wood,Traditional Practitioners,Hill Stations
Rajasthan,Pottery,Post-Independence,Dance,Lohri,Yes,Paper,Master Craftsman,Coastal Areas
Tamil Nadu,Puppet Show,Medieval,Architecture,Eid,Yes,Bamboo,Traditional Practitioners,Hill Stations
Punjab,Classical Music,Prehistoric,Painting,Durga Puja,Yes,Glass,Renowned Artist,Rural Areas
Maharashtra,Folk Dance,Ancient,Theatre,Diwali,Yes,Wood,Master Craftsman,Hill Stations
Karnataka,Folk Dance,Prehistoric,Craft,Christmas,No,Clay,Master Craftsman,Tribal Regions
Uttar Pradesh,Puppet Show,Prehistoric,Cuisine,Pongal,Yes,Fabric,Traditional Practitioners,Major Cities
Tamil Nadu,Handloom Weaving,Prehistoric,Painting,Durga Puja,No,Clay,Master Craftsman,Rural Areas
Bihar,Wood Carving,Modern,Textile,Eid,Yes,Bamboo,Traditional Practitioners,Hill Stations
Bihar,Terracotta Art,Modern,Textile,Baisakhi,Yes,Paper,Young Artists,Major Cities
Assam,Handloom Weaving,Colonial,Theatre,Baisakhi,Yes,Clay,Renowned Artist,Coastal Areas
Punjab,Wood Carving,Ancient,Textile,Baisakhi,Yes,Glass,Young Artists,Coastal Areas
Gujarat,Puppet Show,Medieval,Dance,Durga Puja,No,Metal,Traditional Practitioners,Hill Stations
Madhya Pradesh,Classical Music,Medieval,Literature,Durga Puja,Yes,Fabric,Young Artists,Hill Stations
Uttar Pradesh,Wood Carving,Colonial,Cuisine,Holi,No,Fabric,Master Craftsman,Hill Stations
Karnataka,Classical Music,Ancient,Cuisine,Holi,Yes,Fabric,Local Artisans,Hill Stations
Gujarat,Stone Carving,Post-Independence,Textile,Pongal,Yes,Ivory,Renowned Artist,Major Cities
Punjab,Embroidery,Ancient,Craft,Eid,Yes,Metal,Local Artisans,Major Cities
Karnataka,Classical Music,Modern,Theatre,Diwali,Yes,Leather,Master Craftsman,Rural Areas
Rajasthan,Terracotta Art,Ancient,Cuisine,Navratri,Yes,Clay,Traditional Practitioners,Rural Areas
Bihar,Embroidery,Ancient,Dance,Holi,No,Bamboo,Renowned Artist,Coastal Areas
Karnataka,Metal Craft,Colonial,Craft,Lohri,Yes,Fabric,Young Artists,Hill Stations
Maharashtra,Embroidery,Colonial,Painting,Diwali,No,Metal,Master Craftsman,Major Cities
Assam,Folk Dance,Colonial,Painting,Pongal,No,Stone,Local Artisans,Tribal Regions
Assam,Puppet Show,Prehistoric,Dance,Bihu,No,Ivory,Young Artists,Hill Stations
Uttar Pradesh,Wood Carving,Ancient,Dance,Lohri,Yes,Ivory,Master Craftsman,Tribal Regions
Tamil Nadu,Metal Craft,Medieval,Literature,Diwali,Yes,Wood,Young Artists,Tribal Regions
Rajasthan,Classical Music,Medieval,Painting,Navratri,Yes,Glass,Master Craftsman,Tribal Regions
Uttar Pradesh,Pottery,Prehistoric,Sculpture,Holi,Yes,Wood,Master Craftsman,Hill Stations
Punjab,Embroidery,Colonial,Architecture,Pongal,No,Paper,Master Craftsman,Major Cities
Tamil Nadu,Metal Craft,Colonial,Sculpture,Diwali,Yes,Wood,Renowned Artist,Tribal Regions
Punjab,Stone Carving,Medieval,Dance,Bihu,No,Leather,Local Artisans,Rural Areas
Assam,Wood Carving,Medieval,Painting,Diwali,No,Glass,Renowned Artist,Major Cities
Uttar Pradesh,Puppet Show,Colonial,Theatre,Bihu,No,Metal,Master Craftsman,Coastal Areas
Karnataka,Puppet Show,Medieval,Theatre,Christmas,No,Fabric,Young Artists,Rural Areas
Uttar Pradesh,Folk Dance,Medieval,Literature,Durga Puja,No,Stone,Master Craftsman,Major Cities
Assam,Pottery,Prehistoric,Painting,Christmas,Yes,Leather,Local Artisans,Hill Stations
Rajasthan,Metal Craft,Colonial,Music,Navratri,No,Wood,Renowned Artist,Coastal Areas
Assam,Handloom Weaving,Medieval,Literature,Bihu,No,Paper,Young Artists,Rural Areas
Assam,Folk Dance,Colonial,Sculpture,Christmas,No,Paper,Young Artists,Rural Areas
Madhya Pradesh,Stone Carving,Ancient,Dance,Holi,No,Fabric,Young Artists,Rural Areas
Punjab,Pottery,Prehistoric,Theatre,Eid,No,Wood,Master Craftsman,Coastal Areas
Bihar,Handloom Weaving,Ancient,Craft,Holi,Yes,Stone,Renowned Artist,Rural Areas
Karnataka,Wood Carving,Colonial,Painting,Bihu,Yes,Glass,Renowned Artist,Tribal Regions
Rajasthan,Puppet Show,Modern,Dance,Lohri,No,Glass,Master Craftsman,Major Cities
Madhya Pradesh,Folk Dance,Post-Independence,Music,Holi,No,Wood,Local Artisans,Hill Stations
Uttar Pradesh,Stone Carving,Ancient,Craft,Navratri,Yes,Clay,Local Artisans,Hill Stations
Karnataka,Classical Music,Medieval,Sculpture,Holi,Yes,Paper,Young Artists,Coastal Areas
Madhya Pradesh,Handloom Weaving,Modern,Textile,Christmas,Yes,Bamboo,Young Artists,Coastal Areas
Karnataka,Wood Carving,Medieval,Cuisine,Pongal,Yes,Metal,Traditional Practitioners,Coastal Areas
Uttar Pradesh,Embroidery,Medieval,Painting,Pongal,No,Leather,Local Artisans,Coastal Areas
Gujarat,Handloom Weaving,Post-Independence,Craft,Lohri,No,Glass,Young Artists,Major Cities
Rajasthan,Pottery,Ancient,Cuisine,Baisakhi,Yes,Metal,Young Artists,Tribal Regions
Karnataka,Classical Music,Modern,Architecture,Diwali,Yes,Leather,Renowned Artist,Major Cities
Karnataka,Handloom Weaving,Colonial,Music,Bihu,Yes,Metal,Master Craftsman,Coastal Areas
Assam,Folk Dance,Medieval,Painting,Bihu,Yes,Ivory,Local Artisans,Hill Stations
Gujarat,Folk Dance,Colonial,Architecture,Bihu,Yes,Stone,Master Craftsman,Tribal Regions
Gujarat,Terracotta Art,Colonial,Architecture,Navratri,Yes,Wood,Master Craftsman,Rural Areas
Madhya Pradesh,Wood Carving,Medieval,Theatre,Lohri,No,Leather,Local Artisans,Hill Stations
Punjab,Folk Dance,Colonial,Textile,Durga Puja,No,Wood,Traditional Practitioners,Tribal Regions
Rajasthan,Terracotta Art,Ancient,Dance,Navratri,Yes,Stone,Local Artisans,Coastal Areas
Madhya Pradesh,Pottery,Modern,Architecture,Diwali,Yes,Leather,Local Artisans,Hill Stations
Rajasthan,Pottery,Colonial,Architecture,Pongal,No,Stone,Master Craftsman,Rural Areas
Bihar,Folk Dance,Prehistoric,Dance,Diwali,Yes,Bamboo,Young Artists,Coastal Areas
Karnataka,Puppet Show,Prehistoric,Painting,Bihu,Yes,Stone,Master Craftsman,Tribal Regions
Maharashtra,Pottery,Medieval,Sculpture,Pongal,Yes,Ivory,Renowned Artist,Tribal Regions
Punjab,Puppet Show,Modern,Textile,Bihu,Yes,Bamboo,Young Artists,Tribal Regions
Rajasthan,Classical Music,Colonial,Painting,Bihu,No,Leather,Traditional Practitioners,Rural Areas
Punjab,Stone Carving,Modern,Theatre,Diwali,No,Bamboo,Renowned Artist,Rural Areas
Rajasthan,Terracotta Art,Modern,Textile,Holi,No,Wood,Traditional Practitioners,Coastal Areas
Punjab,Classical Music,Prehistoric,Cuisine,Holi,No,Bamboo,Renowned Artist,Hill Stations
Bihar,Pottery,Modern,Theatre,Christmas,No,Glass,Master Craftsman,Tribal Regions
Gujarat,Embroidery,Prehistoric,Sculpture,Baisakhi,Yes,Ivory,Renowned Artist,Rural Areas
Maharashtra,Embroidery,Medieval,Sculpture,Navratri,No,Ivory,Young Artists,Tribal Regions
Madhya Pradesh,Wood Carving,Ancient,Craft,Pongal,Yes,Stone,Renowned Artist,Tribal Regions
